N,Z,binding,A,binding_MeV,N_frontier,d
105,79,7900.1947,184,1453.6358248000001,119.0,-14.0
98,78,7888.9934,176,1388.4628384,117.1,-19.099999999999994
86,72,7981.2764,158,1261.0416711999999,106.9,-20.900000000000006
65,59,8128.0,124,1007.8720000000001,90.6,-25.599999999999994
35,24,8568.5995,59,505.54737049999994,37.599999999999994,-2.5999999999999943
71,45,8377.6123,116,971.8030268000001,71.3,-0.29999999999999716
69,58,8280.7922,127,1051.6606094,88.6,-19.599999999999994
117,81,7890.3011,198,1562.2796177999999,124.4,-7.400000000000006
57,50,8439.4946,107,903.0259222,77.7,-20.700000000000003
67,51,8478.9156,118,1000.5120408,79.3,-12.299999999999997
135,87,7690.9474,222,1707.3903228,135.2,-0.19999999999998863
20,26,7603.0,46,349.738,40.7,-20.700000000000003
32,28,8780.7769,60,526.846614,43.8,-11.799999999999997
54,36,8591.2599,90,773.2133909999999,55.4,-1.3999999999999986
83,58,8355.3956,141,1178.1107796,88.6,-5.599999999999994
125,82,7869.8664,207,1629.0623448000001,125.4,-0.4000000000000057
92,63,8216.676,155,1273.58478,94.6,-2.5999999999999943
28,23,8742.0852,51,445.8463452,36.5,-8.5
95,72,8054.185,167,1345.0488950000001,106.9,-11.900000000000006
81,59,8346.5163,140,1168.512282,90.6,-9.599999999999994
130,86,7758.6553,216,1675.8695448,133.6,-3.5999999999999943
102,72,8068.5341,174,1403.9249333999999,106.9,-4.900000000000006
18,14,8481.469,32,271.40700799999996,23.4,-5.399999999999999
64,56,8280.2949,120,993.6353880000001,86.0,-22.0
3,3,5332.3312,6,31.9939872,7.3,-4.3
79,56,8397.5345,135,1133.6671574999998,86.0,-7.0
46,36,8710.6754,82,714.2753828,55.4,-9.399999999999999
122,84,7840.5973,206,1615.1630438000002,130.7,-8.699999999999989
37,25,8538.5002,62,529.3870124,39.3,-2.299999999999997
35,26,8703.7686,61,530.9298846,40.7,-5.700000000000003
17,22,7566.0,39,295.074,34.2,-17.200000000000003
32,27,8768.0379,59,517.3142361,41.7,-9.700000000000003
117,88,7707.1698,205,1579.969809,135.8,-18.80000000000001
83,59,8336.3032,142,1183.7550544,90.6,-7.599999999999994
31,30,8610.3098,61,525.2288978,45.7,-14.700000000000003
23,22,8555.7321,45,385.00794449999995,34.2,-11.200000000000003
115,83,7841.2123,198,1552.5600354,129.0,-14.0
103,82,7786.933,185,1440.582605,125.4,-22.400000000000006
28,20,8666.6916,48,416.0011968,30.799999999999997,-2.799999999999997
107,81,7853.0537,188,1476.3740956000001,124.4,-17.400000000000006
82,69,8050.0576,151,1215.5586976000002,100.9,-18.900000000000006
75,51,8440.3136,126,1063.4795136,79.3,-4.299999999999997
87,76,7807.0,163,1272.5410000000002,114.4,-27.400000000000006
81,70,7983.7556,151,1205.5470956000001,104.2,-23.200000000000003
64,46,8547.163,110,940.1879300000002,72.7,-8.700000000000003
56,37,8540.9209,93,794.3056437,57.4,-1.3999999999999986
28,29,8503.2646,57,484.6860822,44.7,-16.700000000000003
25,22,8661.2325,47,407.07792750000004,34.2,-9.200000000000003
86,61,8284.3712,147,1217.8025664,92.9,-6.900000000000006
60,44,8587.3998,104,893.0895792,69.0,-9.0
69,55,8383.5114,124,1039.5554136,85.0,-16.0
20,21,8369.1979,41,343.1371139,33.099999999999994,-13.099999999999994
26,29,8233.997,55,452.8698349999999,44.7,-18.700000000000003
99,80,7816.2631,179,1399.1110949000001,122.19999999999999,-23.19999999999999
97,77,7902.0377,174,1374.9545598,115.7,-18.700000000000003
129,90,7683.7655,219,1682.7446445,139.0,-10.0
27,24,8711.9923,51,444.3116073,37.599999999999994,-10.599999999999994
72,60,8256.8104,132,1089.8989728000001,91.6,-19.599999999999994
74,49,8437.9362,123,1037.8661525999999,75.7,-1.7000000000000028
38,29,8737.4597,67,585.4097998999999,44.7,-6.700000000000003
147,102,7422.0,249,1848.078,155.1,-8.099999999999994
